last_name, first_name,year,on_base_percent,barrel_batted_rate,hard_hit_percent,whiff_percent,f_strike_percent,
Hunter, Torii,2015,.293,5.0,34.9,23.2,64.0,
Ortiz, David,2015,.360,13.1,49.3,23.2,52.1,
Rodriguez, Alex,2015,.356,10.9,43.9,32.0,60.3,
Ramirez, Aramis,2015,.297,5.6,34.5,17.9,65.5,
Beltre, Adrian,2015,.334,5.5,40.4,16.8,61.9,
Beltran, Carlos,2015,.337,5.8,41.9,18.1,57.3,
Rollins, Jimmy,2015,.284,2.5,23.3,18.2,56.5,
Pujols, Albert,2015,.307,7.7,38.3,16.3,56.0,
Byrd, Marlon,2015,.290,8.2,30.9,31.2,70.4,
Mauer, Joe,2015,.338,3.7,39.9,16.9,57.2,
Cabrera, Miguel,2015,.440,10.6,53.0,23.1,57.5,
Gonzalez, Adrian,2015,.350,8.1,36.8,21.6,54.4,
Phillips, Brandon,2015,.327,2.3,25.8,18.9,62.3,
Reyes, Jose,2015,.304,0.2,18.6,16.4,61.1,
Peralta, Jhonny,2015,.334,4.4,34.0,23.1,60.5,
Choo, Shin-Soo,2015,.374,8.4,44.3,27.0,57.9,
Molina, Yadier,2015,.309,2.3,25.3,17.0,62.3,
Fielder, Prince,2015,.378,6.4,44.5,20.7,56.1,
Cano, Robinson,2015,.334,7.1,45.5,19.1,59.2,
Encarnacion, Edwin,2015,.372,10.0,44.1,23.1,55.6,
Howard, Ryan,2015,.276,11.7,45.5,31.9,57.9,
Bautista, Jose,2015,.377,12.6,45.4,20.4,53.0,
Jones, Adam,2015,.308,9.2,34.7,24.3,65.4,
Aybar, Erick,2015,.298,0.9,19.2,13.4,63.6,
Martin, Russell,2015,.329,8.2,40.0,23.5,57.8,
Granderson, Curtis,2015,.364,8.3,40.2,20.8,53.1,
Pagan, Angel,2015,.303,0.7,22.4,12.4,56.7,
Morales, Kendrys,2015,.362,8.9,47.9,22.9,54.8,
Kinsler, Ian,2015,.342,2.7,26.4,12.3,60.6,
McCann, Brian,2015,.320,5.3,36.5,17.4,55.9,
Walker, Neil,2015,.328,4.8,37.4,19.6,63.0,
Desmond, Ian,2015,.287,6.9,41.1,29.0,65.8,
Cruz, Nelson,2015,.369,14.1,47.5,30.8,59.2,
Trumbo, Mark,2015,.310,9.8,43.0,30.9,60.7,
Peralta, David,2015,.371,7.7,42.8,24.6,62.9,
Escobar, Alcides,2015,.289,0.9,16.3,18.2,68.4,
Prado, Martin,2015,.338,2.3,33.6,11.6,63.3,
Duda, Lucas,2015,.352,11.6,42.3,24.9,51.3,
Longoria, Evan,2015,.328,8.5,39.8,23.7,59.1,
Davis, Chris,2015,.361,17.6,46.2,35.7,62.1,
Zobrist, Ben,2015,.359,3.6,34.9,12.6,54.8,
Fowler, Dexter,2015,.345,4.5,30.0,22.0,59.0,
Headley, Chase,2015,.324,5.1,32.5,21.3,57.5,
Lind, Adam,2015,.360,7.2,36.0,21.2,54.5,
Cabrera, Asdrubal,2015,.314,5.4,32.3,23.4,65.0,
Tulowitzki, Troy,2015,.337,5.3,40.7,23.0,57.9,
Blackmon, Charlie,2015,.345,3.7,28.8,15.9,57.8,
Frazier, Todd,2015,.308,9.0,38.7,24.9,60.3,
Markakis, Nick,2015,.370,0.8,33.6,11.6,56.0,
Butler, Billy,2015,.323,7.5,40.6,18.8,62.2,
Cain, Lorenzo,2015,.361,5.5,38.1,19.1,59.9,
McCutchen, Andrew,2015,.401,9.3,44.6,26.1,55.6,
Jackson, Austin,2015,.309,3.8,40.1,22.2,61.7,
Upton, Justin,2015,.335,10.3,39.2,31.9,57.9,
Maybin, Cameron,2015,.326,2.7,35.6,20.5,60.7,
Posey, Buster,2015,.379,6.1,37.5,13.3,59.2,
Bruce, Jay,2015,.294,8.1,37.6,25.2,58.9,
Votto, Joey,2015,.459,10.7,42.0,24.0,54.5,
Coghlan, Chris,2015,.340,5.5,33.0,19.8,56.1,
Gardner, Brett,2015,.338,4.0,34.7,21.5,52.3,
Braun, Ryan,2015,.356,10.7,45.4,22.9,64.3,
Moss, Brandon,2015,.304,11.7,39.8,29.6,58.0,
Kemp, Matt,2015,.312,8.3,40.5,26.3,58.3,
Plouffe, Trevor,2015,.307,7.9,39.6,21.0,64.6,
Andrus, Elvis,2015,.306,1.5,27.3,15.0,62.3,
Cervelli, Francisco,2015,.367,4.1,35.4,19.0,60.8,
Cabrera, Melky,2015,.313,2.4,36.2,13.4,61.3,
Sandoval, Pablo,2015,.291,4.8,34.0,19.2,65.0,
Ramos, Wilson,2015,.258,6.3,44.5,24.3,65.9,
Santana, Carlos,2015,.357,7.2,40.0,19.4,48.2,
Parra, Gerardo,2015,.326,3.0,29.7,18.5,66.4,
Gonzalez, Carlos,2015,.324,11.0,38.6,30.8,57.4,
Belt, Brandon,2015,.356,10.0,42.1,28.3,60.1,
Brantley, Michael,2015,.379,3.9,36.2,8.7,58.6,
Escobar, Yunel,2015,.374,3.0,36.3,17.8,63.9,
Morrison, Logan,2015,.301,6.9,37.5,18.5,57.9,
Cespedes, Yoenis,2015,.328,11.3,45.0,23.7,58.4,
Ramirez, Alexei,2015,.285,1.0,22.0,15.7,67.0,
Solarte, Yangervis,2015,.319,2.1,31.2,13.3,58.1,
Martinez, J.D.,2015,.344,17.6,48.7,30.8,64.1,
Reddick, Josh,2015,.330,5.0,33.2,16.1,56.2,
Murphy, Daniel,2015,.322,4.9,38.3,9.0,57.2,
Goldschmidt, Paul,2015,.435,12.5,46.3,25.2,54.2,
Altuve, Jose,2015,.351,3.1,28.8,11.4,65.5,
Segura, Jean,2015,.279,1.3,26.9,17.5,66.4,
Castro, Starlin,2015,.296,4.3,28.0,19.7,56.9,
Marte, Starling,2015,.335,6.9,35.3,26.3,69.7,
Donaldson, Josh,2015,.370,12.2,46.5,25.3,57.0,
Heyward, Jason,2015,.357,2.8,35.0,16.2,52.6,
LeMahieu, DJ,2015,.356,1.9,39.6,16.7,58.7,
Moreland, Mitch,2015,.330,10.4,45.6,25.7,57.3,
Moustakas, Mike,2015,.345,6.4,36.7,16.7,58.1,
Norris, Derek,2015,.305,2.3,34.8,21.5,59.1,
Revere, Ben,2015,.339,0.0,14.6,10.7,56.6,
Rizzo, Anthony,2015,.387,8.0,38.3,19.2,54.8,
Vogt, Stephen,2015,.341,5.6,30.3,18.5,55.2,
Galvis, Freddy,2015,.299,2.4,22.3,19.2,64.2,
Perez, Salvador,2015,.280,5.3,32.6,18.0,60.6,
