Rk.,Team,Venue,Year,Park Factor,wOBACon,BACON,R,OBP,H,1B,2B,3B,HR,BB,SO,PA
1, Rockies,Coors Field,2019-2021,115,115,114,132,113,120,118,117,224,119,94,87,10232
2, Braves,Truist Park,2019-2021,106,107,107,112,105,107,104,117,94,107,102,99,11072
3, Reds,Great American Ball Park,2019-2021,105,109,105,110,102,102,99,96,44,134,103,106,10682
4, Red Sox,Fenway Park,2019-2021,104,105,106,108,105,104,98,139,103,86,108,101,11022
5, Phillies,Citizens Bank Park,2019-2021,104,104,102,108,103,104,104,89,117,121,99,96,10902
6, Angels,Angel Stadium,2019-2021,103,105,104,106,103,103,103,96,89,112,104,101,10119
7, Orioles,Oriole Park at Camden Yards,2019-2021,103,100,98,106,101,101,98,95,99,119,97,92,9910
8, Nationals,Nationals Park,2019-2021,103,103,102,106,102,103,100,109,90,110,101,98,10729
9, Royals,Kauffman Stadium,2019-2021,102,99,103,104,103,109,114,119,129,77,89,88,10097
10, D-backs,Chase Field,2019-2021,101,102,102,102,101,102,102,104,161,92,100,100,10602
11, Pirates,PNC Park,2019-2021,100,97,98,100,101,99,94,130,101,82,104,94,10313
12, Astros,Minute Maid Park,2019-2021,100,102,101,100,99,100,101,91,91,112,98,105,10647
13, Indians,Progressive Field,2019-2021,99,101,101,98,98,98,94,111,80,100,100,106,10462
14, Dodgers,Dodger Stadium,2019-2021,99,101,99,98,97,101,102,92,41,119,88,102,10482
15, Brewers,American Family Field,2019-2021,99,100,100,98,98,96,97,89,94,105,100,107,11298
16, Tigers,Comerica Park,2019-2021,99,97,98,98,98,100,99,96,258,91,97,96,9690
17, White Sox,Guaranteed Rate Field,2019-2021,98,98,96,96,98,94,95,82,30,118,104,102,9992
18, Marlins,loanDepot park,2019-2021,98,98,100,96,99,101,103,105,134,83,98,99,10560
19, Cubs,Wrigley Field,2019-2021,97,96,96,94,99,95,95,93,173,88,110,102,10747
20, Cardinals,Busch Stadium,2019-2021,97,93,94,94,99,98,103,89,126,88,100,90,9845
21, Yankees,Yankee Stadium,2019-2021,97,97,98,94,98,97,101,82,66,101,99,102,9973
22, Rays,Tropicana Field,2019-2021,96,98,99,92,96,98,96,108,132,90,92,106,11141
23, Mets,Citi Field,2019-2021,96,98,96,92,96,93,94,88,55,105,100,108,10299
24, Twins,Target Field,2019-2021,96,95,96,92,97,97,98,105,102,83,103,100,10790
25, Mariners,T-Mobile Park,2019-2021,95,96,96,90,96,94,97,88,39,99,101,108,10031
26, Athletics,Oakland Coliseum,2019-2021,94,93,95,88,96,95,97,106,88,80,98,98,10329
27, Padres,Petco Park,2019-2021,94,93,94,88,96,92,93,88,56,97,106,103,11453
28, Giants,Oracle Park,2019-2021,92,93,96,85,95,94,99,90,128,73,97,107,10994
1, Rockies,Coors Field,2018-2020,115,116,115,132,112,119,114,127,201,117,94,91,15559
2, Nationals,Nationals Park,2018-2020,105,105,104,110,104,105,102,109,79,114,103,96,17671
