last_name, first_name,year,on_base_percent,barrel_batted_rate,whiff_percent,f_strike_percent,sprint_speed,
Martinez, Victor,2018,.297,4.7,14.3,57.5,23.2,
Mauer, Joe,2018,.350,5.0,15.1,60.4,26.0,
Choo, Shin-Soo,2018,.376,11.1,27.0,58.2,26.0,
Molina, Yadier,2018,.314,5.5,17.3,64.0,22.9,
Encarnacion, Edwin,2018,.335,11.2,26.3,57.2,24.5,
Jones, Adam,2018,.313,4.9,23.8,65.9,26.7,
Kinsler, Ian,2018,.301,3.1,12.2,57.5,26.6,
Desmond, Ian,2018,.307,7.0,28.9,65.4,28.1,
Cruz, Nelson,2018,.342,13.8,30.6,54.3,24.9,
Peralta, David,2018,.352,7.8,23.7,61.7,27.2,
Escobar, Alcides,2018,.275,2.1,20.5,65.9,27.6,
Jay, Jon,2018,.328,1.8,20.0,62.6,26.0,
Longoria, Evan,2018,.281,7.6,20.6,62.5,26.9,
Davis, Chris,2018,.243,10.3,34.4,58.6,25.5,
Zobrist, Ben,2018,.377,3.0,14.3,58.1,26.7,
Cabrera, Asdrubal,2018,.316,7.2,22.7,61.0,25.4,
Blackmon, Charlie,2018,.358,6.5,20.4,60.2,27.6,
Markakis, Nick,2018,.366,3.1,11.4,56.9,26.4,
Nunez, Eduardo,2018,.289,3.4,15.8,61.0,27.5,
Cain, Lorenzo,2018,.395,3.4,17.8,60.2,28.6,
McCutchen, Andrew,2018,.368,8.4,22.5,56.0,28.7,
Upton, Justin,2018,.344,14.0,31.5,57.6,27.8,
Votto, Joey,2018,.417,6.7,17.9,55.9,25.4,
Gardner, Brett,2018,.320,2.8,13.7,55.0,29.1,
Gordon, Alex,2018,.324,6.8,24.0,60.9,25.5,
Kemp, Matt,2018,.338,11.0,29.4,64.4,26.2,
Santana, Carlos,2018,.352,6.9,19.4,58.2,26.0,
Gonzalez, Carlos,2018,.329,6.2,29.5,60.5,27.5,
Alonso, Yonder,2018,.317,9.8,25.4,57.3,23.3,
Smoak, Justin,2018,.350,10.8,25.3,55.6,23.8,
Lowrie, Jed,2018,.353,5.3,20.3,59.3,26.7,
Brantley, Michael,2018,.363,3.5,11.0,58.2,26.1,
Gurriel, Yuli,2018,.323,1.9,15.7,63.4,27.6,
Solarte, Yangervis,2018,.277,4.5,17.4,60.8,24.7,
Rojas, Miguel,2018,.295,0.9,15.5,60.2,26.5,
Escobar, Eduardo,2018,.334,8.3,24.0,61.6,27.8,
Martinez, Jose,2018,.363,9.4,21.4,58.8,26.5,
Davis, Khris,2018,.326,17.2,33.7,61.6,26.2,
Pham, Tommy,2018,.367,10.1,25.5,61.1,28.6,
Martinez, J.D.,2018,.402,16.0,28.2,59.5,26.8,
Goldschmidt, Paul,2018,.388,13.6,26.4,59.1,26.9,
Gonzalez, Marwin,2018,.321,6.8,24.8,58.5,26.4,
Altuve, Jose,2018,.384,5.9,17.9,67.8,28.1,
Hernandez, Cesar,2018,.356,4.2,20.4,58.3,29.1,
Segura, Jean,2018,.339,3.6,12.8,61.1,27.9,
Castro, Starlin,2018,.329,6.9,22.8,60.4,27.4,
Marte, Starling,2018,.327,7.5,24.3,63.5,28.6,
Dietrich, Derek,2018,.330,6.1,25.4,60.3,26.9,
Freeman, Freddie,2018,.388,9.3,24.3,60.3,26.7,
Grandal, Yasmani,2018,.349,11.9,28.0,54.2,24.5,
LeMahieu, DJ,2018,.320,5.2,14.0,60.4,27.1,
Moustakas, Mike,2018,.315,8.8,21.9,59.2,25.7,
Rizzo, Anthony,2018,.376,6.5,17.1,57.0,25.5,
Stanton, Giancarlo,2018,.343,15.1,34.4,57.0,27.8,
Galvis, Freddy,2018,.299,3.9,26.4,62.5,26.8,
Perez, Salvador,2018,.274,10.8,23.8,67.1,25.0,
Inciarte, Ender,2018,.323,1.5,14.7,63.2,27.9,
Ozuna, Marcell,2018,.325,9.7,24.3,61.3,27.8,
Villar, Jonathan,2018,.324,5.1,29.7,65.8,27.6,
Aguilar, Jesus,2018,.352,11.4,28.7,58.1,24.7,
Crawford, Brandon,2018,.325,3.6,29.2,62.0,25.8,
Cron, C.J.,2018,.323,12.2,29.1,58.9,26.3,
Hicks, Aaron,2018,.365,8.8,23.4,53.0,28.1,
Hosmer, Eric,2018,.322,5.9,27.6,56.4,26.3,
Kipnis, Jason,2018,.314,6.6,20.9,52.7,26.9,
Rendon, Anthony,2018,.374,10.3,13.9,62.3,27.3,
Semien, Marcus,2018,.317,4.5,20.4,61.2,28.3,
Shaw, Travis,2018,.344,10.3,20.4,54.3,26.7,
Springer, George,2018,.344,8.9,24.6,57.1,27.7,
Strange-Gordon, Dee,2018,.284,0.2,15.6,64.8,29.0,
Gregorius, Didi,2018,.334,4.7,19.6,59.4,28.0,
Trout, Mike,2018,.459,16.5,18.6,58.1,29.2,
Herrera, Odubel,2018,.310,4.9,27.7,64.3,26.6,
Harper, Bryce,2018,.393,11.5,31.6,57.4,27.5,
Abreu, Jose,2018,.325,9.1,24.6,62.4,26.7,
Suarez, Eugenio,2018,.366,9.7,25.7,59.6,26.2,
Polanco, Gregory,2018,.338,9.4,24.0,57.6,27.8,
Sanchez, Yolmer,2018,.305,3.0,21.7,61.0,28.1,
Arenado, Nolan,2018,.373,7.4,24.6,58.4,25.7,
Barnhart, Tucker,2018,.326,3.5,20.4,55.9,25.0,
