last_name, first_name,year,barrels,barrel_batted_rate,
Pujols, Albert,2019,25,5.8,
Cabrera, Miguel,2019,25,6.4,
Choo, Shin-Soo,2019,35,8.8,
Jones, Adam,2019,26,6.7,
Cruz, Nelson,2019,65,19.9,
Longoria, Evan,2019,26,7.5,
Fowler, Dexter,2019,26,7.4,
Cabrera, Asdrubal,2019,20,5.7,
Blackmon, Charlie,2019,40,8.3,
Cain, Lorenzo,2019,19,4.1,
Turner, Justin,2019,31,7.8,
Votto, Joey,2019,28,6.9,
Gardner, Brett,2019,15,3.9,
Braun, Ryan,2019,35,9.8,
Gordon, Alex,2019,25,5.4,
Andrus, Elvis,2019,18,3.5,
Ramos, Wilson,2019,19,4.7,
Santana, Carlos,2019,45,9.6,
Belt, Brandon,2019,35,8.7,
Brantley, Michael,2019,28,5.5,
Gurriel, Yuli,2019,18,3.6,
Rojas, Miguel,2019,11,2.6,
Escobar, Eduardo,2019,36,7.0,
Davis, Khris,2019,33,9.8,
Pham, Tommy,2019,35,7.9,
Martinez, J.D.,2019,52,11.8,
Reddick, Josh,2019,15,3.4,
Goldschmidt, Paul,2019,49,11.3,
Altuve, Jose,2019,34,8.1,
Hernandez, Cesar,2019,14,2.7,
Segura, Jean,2019,16,3.2,
Castro, Starlin,2019,33,6.2,
Marte, Starling,2019,36,8.0,
Donaldson, Josh,2019,62,15.7,
Freeman, Freddie,2019,59,12.5,
Grandal, Yasmani,2019,43,11.3,
Heyward, Jason,2019,23,5.7,
LeMahieu, DJ,2019,39,7.5,
Moustakas, Mike,2019,44,10.3,
Rizzo, Anthony,2019,29,6.8,
Galvis, Freddy,2019,23,5.5,
Garcia, Avisail,2019,43,11.7,
Ozuna, Marcell,2019,45,12.1,
Villar, Jonathan,2019,32,6.8,
Santana, Danny,2019,31,9.5,
Crawford, Brandon,2019,21,5.4,
Hosmer, Eric,2019,33,7.2,
Kipnis, Jason,2019,21,5.5,
Rendon, Anthony,2019,56,12.0,
Semien, Marcus,2019,47,8.5,
Springer, George,2019,52,14.1,
Vazquez, Christian,2019,23,5.9,
Wong, Kolten,2019,9,2.2,
Garcia, Leury,2019,17,3.8,
Grichuk, Randal,2019,36,8.5,
Trout, Mike,2019,67,18.9,
Harper, Bryce,2019,59,14.8,
Abreu, Jose,2019,63,12.8,
Suarez, Eugenio,2019,55,14.0,
Santana, Domingo,2019,35,12.1,
Sanchez, Yolmer,2019,4,1.0,
Arenado, Nolan,2019,40,8.0,
Muncy, Max,2019,41,12.0,
Voit, Luke,2019,38,13.2,
Walker, Christian,2019,49,13.1,
Iglesias, Jose,2019,11,2.5,
Bryant, Kris,2019,37,9.3,
Castellanos, Nick,2019,52,10.9,
Machado, Manny,2019,37,8.0,
Moran, Colin,2019,26,7.4,
Pederson, Joc,2019,35,10.3,
Realmuto, J.T.,2019,37,8.7,
Rosario, Eddie,2019,41,8.5,
Yelich, Christian,2019,59,15.8,
Merrifield, Whit,2019,24,4.3,
Bogaerts, Xander,2019,42,8.4,
Alberto, Hanser,2019,14,2.9,
Polanco, Jorge,2019,35,6.7,
Calhoun, Kole,2019,44,11.2,
Eaton, Adam,2019,18,3.8,
Profar, Jurickson,2019,25,6.5,
Baez, Javier,2019,48,12.7,
Lindor, Francisco,2019,38,7.5,
Odor, Rougned,2019,47,13.6,
Story, Trevor,2019,36,8.6,
Vogelbach, Daniel,2019,34,10.8,
Kepler, Max,2019,38,8.9,
Bradley Jr., Jackie,2019,33,9.6,
Nunez, Renato,2019,43,10.7,
Ahmed, Nick,2019,30,6.6,
Anderson, Brian,2019,31,8.9,
Bell, Josh,2019,53,12.7,
Betts, Mookie,2019,52,10.3,
Smith, Mallex,2019,8,2.2,
Arcia, Orlando,2019,18,4.6,
Marte, Ketel,2019,45,9.3,
Turner, Trea,2019,28,6.8,
Pillar, Kevin,2019,26,4.9,
Ramirez, Jose,2019,26,6.3,
Bregman, Alex,2019,23,4.8,
Seager, Corey,2019,29,7.3,
Reyes, Franmil,2019,51,14.8,
Swanson, Dansby,2019,37,10.1,
Newman, Kevin,2019,9,2.1,
Olson, Matt,2019,50,14.5,
Alonso, Pete,2019,66,15.8,
Conforto, Michael,2019,48,11.9,
Frazier, Adam,2019,9,1.9,
Puig, Yasiel,2019,40,9.4,
Soler, Jorge,2019,70,16.9,
Meadows, Austin,2019,50,12.5,
Anderson, Tim,2019,20,5.1,
Bellinger, Cody,2019,59,13.0,
Dozier, Hunter,2019,38,10.0,
Mancini, Trey,2019,48,10.3,
McMahon, Ryan,2019,29,9.0,
Rosario, Amed,2019,21,4.2,
Adames, Willy,2019,32,8.4,
Benintendi, Andrew,2019,33,8.1,
McNeil, Jeff,2019,21,4.8,
Albies, Ozzie,2019,35,6.6,
Robles, Victor,2019,20,4.8,
Devers, Rafael,2019,48,9.0,
Jimenez, Eloy,2019,43,12.8,
Torres, Gleyber,2019,43,10.1,
Chapman, Matt,2019,53,12.1,
Hoskins, Rhys,2019,39,9.7,
Schwarber, Kyle,2019,55,14.5,
DeJong, Paul,2019,38,8.6,
Moncada, Yoan,2019,44,12.2,
Acuna Jr., Ronald,2019,66,15.0,
Fletcher, David,2019,1,0.2,
Guerrero Jr., Vladimir,2019,29,7.7,
Soto, Juan,2019,51,12.3,
Reynolds, Bryan,2019,25,6.7,
