year,name,speed,angle,result
2019,송광민,132.99,72.6,파울플라이
2019,호잉,146.08,4.7,단타
2019,김태균,116.93,2.9,단타
2019,이성열,135.1,-2.5,땅볼
2019,박건우,151.58,26.3,플라이볼
2019,최재훈,161.25,-5.3,단타
2019,페르난데스,126.45,2.5,병살타
2019,송광민,155.92,8.7,2루타
2019,박세혁,117.71,31.4,플라이볼
2019,김재호,130.97,72.5,파울플라이
2019,허경민,129.35,50.2,플라이볼
2019,최재훈,122.43,34.7,플라이볼
2019,정은원,136.3,48.7,플라이볼
2019,정수빈,121.52,22,단타
2019,박건우,166.32,19.2,홈런
2019,김재환,132.66,28.8,플라이볼
2019,오재일,123.4,51,플라이볼
2019,페르난데스,125.51,3.3,땅볼
2019,호잉,164.56,-0.2,단타
2019,김태균,131.69,6.3,단타
2019,박세혁,121.71,14.5,단타
2019,김재호,140.12,23.9,플라이볼
2019,허경민,125.36,0.4,땅볼
2019,정수빈,61.33,52.6,파울플라이
2019,박건우,150.89,5.9,단타
2019,오재일,140.17,38.6,플라이볼
2019,페르난데스,148.42,0.8,단타
2019,송광민,163.35,7.1,라인드라이브
2019,김태균,147.73,-6.4,병살타
2019,허경민,153.06,-4.2,땅볼
2019,이성열,142.57,17.2,단타
2019,최재훈,154.59,11.6,단타
2019,페르난데스,141.56,8.9,2루타
2019,호잉,147.71,7.6,단타
2019,이성열,138.41,25.5,희생플라이
2019,유한준,161.52,-5.9,단타
2019,한동민,148.75,33.7,홈런
2019,로맥,145.33,-16.5,2루타
2019,이재원,146.46,-0.8,단타
2019,김강민,117.16,37.2,플라이볼
2019,황재균,110.69,-23.6,땅볼
2019,박경수,83.64,-33.8,땅볼
2019,김성현,103.38,51.5,플라이볼
2019,한동민,164.32,2.5,땅볼
2019,강백호,152.26,10.5,단타
2019,유한준,124.29,-6.8,병살타
2019,최정,128.51,48.3,플라이볼
2019,로맥,127.85,68.1,플라이볼
2019,황재균,154.05,17.2,플라이볼
2019,김강민,133.96,7.1,단타
2019,김성현,132.48,54.8,플라이볼
2019,한동민,96.99,63.7,플라이볼
2019,강백호,106.11,-18.4,땅볼
2019,유한준,158.35,-20.8,땅볼
2019,로맥,124.09,74,파울플라이
2019,이재원,53.83,-42.2,땅볼
2019,김성현,133.64,24.7,플라이볼
2019,로하스,80.75,40.4,플라이볼
2019,유한준,122.59,41,플라이볼
2019,로맥,158.21,28,홈런
2019,김성현,145.56,0.9,병살타
2019,황재균,151.54,-4.9,땅볼
2019,강백호,145.94,36.3,플라이볼
2019,이형종,152.23,6.1,단타
2019,채은성,147.44,43,플라이볼
2019,이명기,154.86,12.3,단타
2019,김선빈,121.9,33.9,플라이볼
2019,유강남,112.38,6.4,단타
2019,최형우,144.58,34,플라이볼
2019,채은성,152.06,25.4,2루타
2019,이형종,107.15,-3.4,땅볼
2019,김현수,123.68,37.1,플라이볼
2019,최형우,126.12,43.1,플라이볼
2019,채은성,161.45,-2.8,단타
2019,이명기,151.39,-1.8,땅볼
2019,이형종,149.86,37.7,2루타
2019,구자욱,144.54,-1,병살타
2019,이원석,163.86,-9.9,땅볼
2019,양의지,149.59,33.2,홈런
2019,러프,167.5,4.5,단타
2019,김헌곤,119.01,-24.5,땅볼
2019,양의지,162.8,-11.2,땅볼
2019,김상수,155.51,10.1,단타
2019,박해민,137.79,45,플라이볼
2019,구자욱,119.56,77.1,파울플라이
2019,이원석,91.76,11.2,땅볼
2019,러프,150.7,-3.7,병살타
2019,김헌곤,124.5,-4.9,땅볼
2019,박해민,151.59,-5.9,병살타
2019,김상수,149.25,21.4,플라이볼
2019,러프,127.88,41.9,플라이볼
2019,김하성,105.35,51.1,플라이볼
2019,박병호,128.89,62.5,플라이볼
2019,손아섭,138.5,39.9,플라이볼
2019,전준우,128.34,-23.3,땅볼
2019,서건창,123.98,8.9,단타
2019,김하성,140.9,14.3,단타
2019,박병호,151.41,14.1,단타
2019,손아섭,133.49,-1.4,땅볼
2019,김하성,149.98,35.1,홈런
2019,박병호,157.61,26.7,홈런
2019,샌즈,153.19,0.6,단타
2019,이정후,154.98,-2.2,땅볼
2019,전준우,120.39,15.9,단타
2019,김하성,123.75,30.8,플라이볼
2019,박병호,157.02,4.3,라인드라이브
2019,샌즈,152.95,11.6,단타
2019,이정후,139.96,-3.7,단타
2019,전준우,137.25,-0.5,땅볼
2019,김하성,134.9,-14.4,땅볼
2019,박병호,158.31,16.9,단타
2019,이정후,135.3,24.4,플라이볼
2019,송광민,137.09,34.3,플라이볼
2019,호잉,164.74,13.1,2루타
2019,김태균,132.22,9,단타
2019,허경민,83.36,26.2,단타
2019,정수빈,101.46,79.9,파울플라이
2019,박건우,142.76,26.1,플라이볼
2019,최재훈,130.28,18.2,플라이볼
2019,정은원,138.26,32.6,플라이볼
2019,송광민,154.28,-1.8,땅볼
2019,김재호,142.07,37.6,플라이볼
2019,허경민,132.13,7.9,라인드라이브
2019,호잉,137.24,20.4,플라이볼
2019,박건우,161.57,39.2,플라이볼
2019,김재환,150.8,26.5,플라이볼
2019,정은원,140.92,-3.8,땅볼
2019,페르난데스,94.71,37.5,플라이볼
2019,송광민,144.38,36.1,플라이볼
2019,박세혁,140.11,34.4,플라이볼
2019,김태균,160.97,-3,땅볼
2019,이성열,145.41,0.4,단타
2019,정은원,154.15,8.9,단타
2019,정수빈,134.52,-8.2,땅볼
2019,박건우,147.81,-6.5,땅볼
2019,최재훈,155.68,-5.4,단타
2019,송광민,149.6,-5.8,내야안타
2019,호잉,135.95,16.4,플라이볼
2019,이성열,129.48,2.1,땅볼
2019,허경민,156.36,-12.2,병살타
2019,박건우,160.94,-11.3,땅볼
2019,황재균,98.7,77.9,파울플라이
2019,박경수,117.02,63.7,플라이볼
2019,강백호,152.52,8.6,단타
2019,김강민,109.62,17.7,단타
2019,한동민,161.07,-2.9,단타
2019,최정,125.24,32.8,플라이볼
2019,로맥,126.02,36.8,플라이볼
2019,김성현,126.47,5.6,단타
2019,황재균,124.32,66.7,플라이볼
2019,김강민,136.26,22.4,2루타
2019,한동민,148.82,23.6,홈런
2019,최정,147.41,30.4,플라이볼
2019,이재원,151.22,-4.3,땅볼
2019,김성현,110.4,-3.6,땅볼
2019,김민혁,131.14,7.6,단타
2019,김강민,130.96,13.2,단타
2019,로맥,152.56,49.4,플라이볼
2019,유한준,133.49,17,단타
2019,김민혁,144.79,-7.9,단타
2019,황재균,141.23,31.7,플라이볼
2019,이재원,146.72,25.9,플라이볼
2019,김성현,126.87,-7.5,땅볼
2019,강백호,159.77,43.3,플라이볼
2019,로하스,120.06,-5.3,땅볼
2019,유한준,146.1,26.1,플라이볼
2019,로맥,139.72,15,단타
2019,이재원,155.16,10.9,단타
2019,고종욱,124.39,-7.5,땅볼
2019,김성현,138.17,31.6,플라이볼
2019,오지환,131.76,-30.8,땅볼
2019,김현수,128.78,16.5,단타
2019,채은성,156.2,9.1,단타
2019,이형종,118.42,15.7,2루타
2019,오지환,155.78,37.7,홈런
2019,채은성,155.08,25.9,2루타
2019,최형우,134.27,34,플라이볼
2019,이명기,135.49,55.5,플라이볼
2019,김선빈,152.51,-3.5,땅볼
2019,채은성,123.65,38.6,플라이볼
2019,최형우,155.03,11.4,단타
2019,이명기,131.51,7.6,라인드라이브
2019,오지환,150.85,21.9,플라이볼
2019,이명기,77.05,35.1,2루타
2019,김선빈,138.64,-1,땅볼
2019,채은성,87.13,77.3,파울플라이
2019,최형우,137.13,0.8,병살타
